BUF,4441898649,0,4758545629,4871757646,555627455,454736472,330319043,1340682970,334363227,314119122,659560472,1308042821,305147915,291712457,627294254,1224154626,385169987,354432468,242752368,982354823,4855235240,4761340648,93894592,1.9720200452,4871757646
CPT,26104779478,0,28436210391,29120624607,2402187795,2771258548,1945429769,7118876112,1999066824,2034654753,3236909198,7270630775,2466377890,2423134885,3261744877,8151257652,2163119417,2252582771,1906734658,6322436846,28863201385,28370984487,492216898,1.7349306233,29120624607
EC101,195911171,0,227262791,234403762,64877825,11128568,8828110,84834503,10345393,12088257,23047527,45481177,10171440,10604203,30472386,51248029,9265659,12776326,8270943,30312928,211876637,227262791,-15386154,-6.7702037506,234403762
EC102,163357691,0,173569620,171823570,35715708,8904843,11145544,55766095,11236755,9904547,23793233,44934535,10419476,10853398,22239565,43512439,10188360,9558168,9656879,29403407,173616476,173569628,46848,0.0269908973,171823570
EC103,38307054,0,43788123,47842244,10476092,739904,910200,12126196,894991,824505,8853634,10573130,1357343,943985,5458820,7760148,795260,2818413,2432717,6046390,36505864,43788137,-7282273,-16.6306984013,47842244
EC104,287696029,0,382010080,382010080,109815874,2315300,16517296,128648470,17204646,34129896,21095035,72429577,45197765,20281972,21095035,86574772,21095035,21095035,30485656,72675726,360328545,382010080,-21681535,-5.6756447369,382010080
EC105,219542765,0,294544000,294544000,42462624,22120608,20599758,85182990,20833013,37957678,17177570,75968261,22252896,17009154,37526554,76788604,17805015,1520274,23545394,42870683,280810538,300247897,-19437359,-6.4737702393,294544000
EC106,ss,0,109008188,134164155,12655574,9434987,6674642,28765203,6032884,7161956,8319059,21513899,7007443,7499123,7949018,22455584,7776786,8099781,13787649,29664216,102398902,109007681,-6608779,-6.0626727762,134164155
EC107,43586876,0,52444507,54462355,14375299,3161066,2066389,19602754,2195244,2178931,8637777,13011952,2161239,2109278,6469600,10740117,6057469,2842972,2217222,11117663,54472486,52444180,2028306,3.8675521288,54462355
EC108,538366101,0,619063916,621907163,95034608,59233608,25257533,179525749,36892259,38251153,60876252,136019664,38830559,38212236,56434717,133477512,34337654,37071062,43918171,115326887,564349812,619063923,-54714111,-8.8382005423,621907163
EC109,107555658,0,108593060,117679791,31891545,8245568,6387571,46524684,8341514,19432368,5214872,32988754,4233007,4500543,15779754,24513304,8363583,3901334,9555209,21820126,125846868,108593071,17253797,15.8884879497,117679791
EC121,176137262,0,245989468,245989468,5000,69343717,313008,69661725,3943801,1035355,3943801,8922957,0,60223303,33150,60256453,371142,1034446,6365068,7770656,146611791,193823532,-47211741,-24.3581058052,245989468
EC122,200209131,0,214494060,229142684,0,97111571,0,97111571,2554508,1248465,2369493,6172466,4474460,1591258,53981548,60047266,3504693,1103595,1740938,6349226,169680529,214494429,-44813900,-20.8928037007,229142684
EC123,68091690,0,78851003,82020648,15040156,3125118,5260439,23425713,3065959,15120663,3200556,21387178,2336129,2961891,13348796,18646816,5201840,3116244,3983382,12301466,75761173,78851000,-3089827,-3.9185641273,82020648
EC124,162755212,0,214090491,215844704,47416402,6065185,5515337,58996924,7137125,4027755,42648071,53812951,4086073,6017507,33927135,44030715,4129552,3040529,10883100,18053181,174893771,214090488,-39196717,-18.3084813184,215844704
EC126,87061082,0,118937976,101362881,38681518,853687,795228,40330433,784856,5585499,18957670,25328025,1371512,997539,21737388,24106439,1055555,982536,1049835,3087926,92852823,118937981,-26085158,-21.9317309582,101362881
EC127,185983988,0,216636182,206545924,49137059,0,12316041,61453100,6273632,35077235,4322459,45673326,4572480,9450356,41258369,55281205,5124396,2907247,5780050,13811693,176219324,216636180,-40416856,-18.6565586598,206545924
EC128,64853251,0,62622858,67124477,12340811,3467252,2086598,17894661,2474057,1822461,2384472,6680990,1388833,4137513,2202804,7729150,933851,6770898,1971362,9676111,41980912,62622724,-20641812,-32.9621752002,67124477
EC131,215828717,0,211233157,211233157,57301563,12577655,10218975,80098193,13359654,6692081,16329940,36381675,622034,758723,19754391,21135148,20273847,0,0,20273847,157888863,226053180,-68164317,-30.1541066576,211233157
EC132,66070490,0,96824276,96824276,17983818,-59931,1141742,19065629,1144512,11276244,6448959,18869715,1766169,910614,9896949,12573732,2522050,934980,0,3457030,53966106,96824281,-42858175,-44.2638711668,96824276
EC133,65980942,0,61222258,61222258,2650658,2732740,2542139,7925537,2100744,2099854,2210790,6411388,0,0,13763709,13763709,0,0,0,0,28100634,57865246,-29764612,-51.4378043083,61222258
EC134,538211997,0,456212643,480931578,117396424,15312283,65561432,198270139,25999701,63411297,18938594,108349592,12054036,31198340,56531474,99783850,20310026,-6616965,32965969,46659030,453062611,456212793,-3150182,-0.6905071599,480931578
EC135,207868818,0,147572000,147572000,47075919,2283080,2939427,52298426,1375652,37912540,1458048,40746240,1458048,2484074,0,3942122,0,702845,5706964,6409809,103396597,140573065,-37176468,-26.4463665212,147572000
EC136,162305356,0,168489051,172567455,40935815,1626925,5954334,48517074,1791365,38146585,10413288,50351238,-498630,3572412,33593022,36666804,2697030,3512793,4540322,10750145,146285261,168489075,-22203814,-13.1781921172,172567455
