Gauteng: Ekurhuleni Metro(EKU) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Transfers recognised - capital,,1516156548,0,2003181134,2043763227,0,45514626,135876389,181391015,73787359,65946652,139470071,279204082,96025024,96640628,178005539,370671191,144753959,141140592,314514231,600408782,1431675070,2003181137,-571506067,-28.53,2043763227
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,-113000000,-113000000,-9416667,-9416667,-9416667,-28250001,0,-18833334,-9416667,-28250001,-9416667,-9416667,-9416667,-28250001,-9416667,-9416667,-9416667,-28250001,-113000004,-113000000,-4,0,-113000000
Surplus/(Deficit) after capital transfers and contributions,,1856414264,0,2006064414,2046646507,818140726,444007082,380334872,1642482680,-74669635,787556048,622724552,1335610965,37080816,175296349,983142922,1195520087,50914788,56699771,-350703094,-243088535,3930525197,2006064414,1924460783,95.93215300413578,2046646507
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,1856414264,0,2006064414,2046646507,818140726,444007082,380334872,1642482680,-74669635,787556048,622724552,1335610965,37080816,175296349,983142922,1195520087,50914788,56699771,-350703094,-243088535,3930525197,2006064414,1924460783,95.93215300413578,2046646507
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,1856414264,0,2006064414,2046646507,818140726,444007082,380334872,1642482680,-74669635,787556048,622724552,1335610965,37080816,175296349,983142922,1195520087,50914788,56699771,-350703094,-243088535,3930525197,2006064414,1924460783,95.93215300413578,2046646507
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,1856414264,0,2006064414,2046646507,818140726,444007082,380334872,1642482680,-74669635,787556048,622724552,1335610965,37080816,175296349,983142922,1195520087,50914788,56699771,-350703094,-243088535,3930525197,2006064414,1924460783,95.93215300413578,2046646507
