Kwazulu-Natal: Hibiscus Coast(KZN216) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Contracted services,,27420689,0,30738079,30738079,1510104,1371629,1371629,4253362,1371629,1371629,1491242,4234500,1450970,2214337,2761346,6426653,2382629,0,1510104,3892733,18807248,30738079,-11930831,-38.81,30738079
Transfers and grants,,5777196,0,4660000,4660000,0,1645076,1645076,3290152,1645076,1645076,0,3290152,27513,150073,791066,968652,520473,958021,0,1478494,9027450,4659500,4367950,93.74,4660000
Other expenditure,,150276977,0,195931000,195931000,4760128,10971701,10971701,26703530,10971701,10971701,16508531,38451933,16689812,14726049,17355129,48770990,20244380,7293544,6252089,33790013,147716466,195931000,-48214534,-24.61,195931000
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,592283867,0,705029627,705029627,29810679,46664129,46664129,123138937,46664129,46664129,46016450,139344708,48027420,47936072,50419406,146382898,55024910,32873774,31042576,118941260,527807803,705028911,-177221108,-25.136714996358496,705029627
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,31803804,0,-666,-666,56740579,25936215,25936215,108613009,25936215,25936215,-6907587,44964843,-346742,-5589311,21113447,15177394,-11517402,-22724367,53906761,19664992,188420238,-350,188420588,-53834453.71428571,-666
Transfers recognised - capital,,0,0,48324000,48324000,5000000,903626,903626,6807252,903626,903626,0,1807252,0,0,0,0,0,0,0,0,8614504,48324000,-39709496,-82.17,48324000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,31803804,0,48323334,48323334,61740579,26839841,26839841,115420261,26839841,26839841,-6907587,46772095,-346742,-5589311,21113447,15177394,-11517402,-22724367,53906761,19664992,197034742,48323650,148711092,307.7397754515646,48323334
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,31803804,0,48323334,48323334,61740579,26839841,26839841,115420261,26839841,26839841,-6907587,46772095,-346742,-5589311,21113447,15177394,-11517402,-22724367,53906761,19664992,197034742,48323650,148711092,307.7397754515646,48323334
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,31803804,0,48323334,48323334,61740579,26839841,26839841,115420261,26839841,26839841,-6907587,46772095,-346742,-5589311,21113447,15177394,-11517402,-22724367,53906761,19664992,197034742,48323650,148711092,307.7397754515646,48323334
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,31803804,0,48323334,48323334,61740579,26839841,26839841,115420261,26839841,26839841,-6907587,46772095,-346742,-5589311,21113447,15177394,-11517402,-22724367,53906761,19664992,197034742,48323650,148711092,307.7397754515646,48323334
