Municipality,Year,Budget,Adjusted Budget,Q1 – Sep,Q2 – Dec,Q3 – Mar,Q4 – Jun
EC443,2012,0,0,61250,59500,95903,76770
KZN254,2012,0,224700,10464,21400,56750,36700
EC126,2014,165000,165000,-6566,15016,26250,N/A
KZN226,2013,80000,80000,450,12968,0,43500
LIM471,2014,180000,180000,39480,25000,43170,N/A
EC128,2013,80000,80000,3500,4800,8350,10950
FS161,2014,87623,87623,11230,7600,0,N/A
EC141,2012,77731,77731,14373,27067,27910,36416
EC443,2014,300000,367680,34100,54400,64549,N/A
EC443,2013,140000,140000,47200,53600,82900,32750
MP324,2012,1506174,1506174,141254,74151,161430,156750
NC074,2013,12230,12230,753,2073,3589,4423
KZN254,2014,0,0,23200,17850,21000,N/A
NC084,2012,12000,12000,2200,2900,3856,1230
MP316,2012,350000,350000,81325,43332,75310,108710
KZN281,2014,500000,500000,15600,21250,13650,N/A
NC093,2012,767550,767550,6940,3970,1271,24127
EC131,2014,119262,119262,64963,10745,4172577,N/A
NW384,2012,110000,110000,69672,27150,51093,49186
MP305,2013,1566780,1566780,76663,17827,31781,65554
KZN214,2013,243268,242568,13371,14305,13860,3466
NC066,2014,0,0,1786,1848,1335,N/A
NW382,2012,873750,873750,8609,17745,15698,10957
KZN234,2013,302000,301576,8750,11605,2650,23260
KZN273,2013,245000,52000,8207,4800,3294,13900
EC156,2013,103910,103910,21200,25530,27881,109691
EC156,2012,0,0,15200,25400,16800,15150
LIM475,2014,0,0,72223,44350,46669,N/A
KZN275,2012,701500,130000,44520,23099,74247,79700
EC138,2013,0,0,6421,8253,15395,4849
KZN271,2012,160000,160000,14365,20270,31200,34330
KZN221,2014,101000,51000,13756,13434,7032,N/A
MP301,2012,145187,145187,860,23300,28450,35700
FS196,2012,110000,119000,22191,6329,15472,44520
FS181,2013,0,16,0,7807,5884,1026
NC082,2014,140861,140861,18907,8051,49755,N/A
KZN431,2013,106000,105900,12500,12150,25250,55490
EC107,2013,0,0,0,2100,0,700
KZN291,2014,55000,55000,18972,16245,18925,N/A
NC066,2012,7000,7000,558,1480,738,1015
LIM353,2013,1000000,1000000,10150,12700,9950,23550
LIM331,2012,168642,177000,60491,28259,18394,25850
LIM331,2013,200000,80000,11452,27789,10447,10246
EC107,2014,20000,20000,5250,2000,1300,N/A
NC074,2014,12230,12230,2150,1291,1038,N/A
EC142,2013,25000,60000,24362,14700,9100,20100
KZN275,2014,15955000,156101,15726,18900,6951,N/A
KZN226,2014,84000,84000,6800,6800,0,N/A
LIM362,2013,164000,164000,12669,12409,1907,0
EC141,2013,1059,107903,18304,14616,40717,46265
KZN224,2012,2000,2000,400,3500,2600,2000
KZN214,2014,255910,31190,5784,9856,8326,N/A
EC126,2013,280000,280000,5420,7349,9200,13450
EC154,2013,34000,40500,5150,15850,8728,200
KZN272,2012,0,0,8675,17615,29224,101447
WC045,2012,16975300,5000,14363,8987,150650,1143251
KZN262,2012,963014,164200,7324,11778,6008,163760
EC142,2012,20000,25000,3705,12050,23300,12400
NC067,2014,30000,30000,1950,1100,0,N/A
LIM362,2012,493400,493400,68917,10123,5598,606
EC144,2013,98981,96621,10770,2920,11562,10970
NC077,2014,146000,51000,12131,1850,2400,N/A
NW404,2013,3029800,3029800,11331,6469,4095,4112713
KZN265,2014,67156,67156,15612,15377,23092,N/A
MP311,2014,751200,127848,50087,5876,49951,N/A
KZN221,2013,250000,101000,323,8200,14754,7473
KZN242,2014,95000,95000,28050,12400,10350,N/A
KZN265,2013,81228,0,17311,14487,8710,10469
LIM474,2013,200000,200000,25954,6950,70124,143768
KZN221,2012,200000,101000,13190,7766,9661,11353
KZN281,2013,1000000,1000000,22300,8950,12400,16350
LIM353,2014,1610595,382900,-3100,7850,40500,N/A
EC104,2014,0,0,82526,5740,96680,N/A
NW382,2013,2646000,2646000,15786,8284,5334,12097
EC155,2014,350000,350000,19700,19000,9300,N/A
LIM331,2014,100000,46500,7412,15816,4518,N/A
FS181,2014,225000,225000,0,3600,2807,N/A
EC123,2014,158998,22000,9050,2150,0,N/A
EC137,2013,30000,30000,19966,7550,7950,4772
EC138,2012,60850,60850,4500,2927,36361,39047
KZN242,2012,200250,200000,25100,7500,38600,12550
MP315,2012,0,0,5289,12057,8350,10394
KZN242,2013,200000,50000,16900,6150,31200,14850
NW404,2014,6010400,6010400,5005,2841,3694178,N/A
NC061,2014,22018,22018,2200,410,2387,N/A
KZN224,2013,5830,6,1850,1100,3200,17950
EC132,2012,5500,6200,2073,1080,1600,0
NC066,2013,1000,1000,1688,381,489,1662
NC064,2014,0,0,202,274,54,N/A
LIM473,2014,10000,50000,12600,5680,3000,N/A
EC137,2014,0,0,2900,2700,1200,N/A
KZN281,2012,1231000,1231000,0,2100,15350,20000
EC154,2014,42930,42930,3450,2600,17660,N/A
MP323,2014,302000,232529,38762,1045,58305,N/A
NC092,2014,17000,17000,0,700,700,N/A
EC142,2014,60000,60000,6050,1900,5100,N/A
NW381,2014,0,0,0,1490,0,N/A
KZN431,2012,100000,100000,6500,1200,52400,15610
NC085,2013,260000,260000,0,413,0,0
NC084,2013,13446,13446,0,180,1460,0
NW381,2013,0,0,0,1090,0,0
KZN227,2012,406000,4000,755,655,633,615
EC132,2013,557893,557893,1400,300,700,3000
KZN261,2012,400000,544500,202500,600,122988,145200
KZN227,2013,202500,2500,864,474,468,114560
NC085,2012,0,0,0,235,72306,1272
EC441,2012,0,403000,3366,1266,345330,91527
LIM365,2013,123000,123000,323,353,194,1430
NC064,2013,0,0,83,35,237,198
EC138,2014,30350,30350,5446,214,2288,N/A
NC092,2013,20000,20000,9648,80,5248,24719
NW394,2013,0,0,137,157,59,0
NW394,2012,0,0,0,104,0,0
NW394,2014,6000,6000,0,58,0,N/A
FS205,2014,3000000,3000000,0,0,0,N/A
EC127,2012,2400000,2400000,0,0,0,0
EC132,2014,550000,550000,1300,0,1202,N/A
NW393,2014,780576,780576,0,0,4123,N/A
LIM361,2013,706330,706330,150827,0,0,0
NC085,2014,260000,260000,17257,0,20582,N/A
NC075,2012,60000,60000,0,0,2577,0
LIM364,2012,180500,180500,62502,0,15335,36725
FS205,2013,277720,555440,0,0,0,0
LIM344,2013,2086000,2086000,0,0,0,0
EC127,2013,300000,300000,7750,0,6430,8150
FS162,2012,109487,116902,0,0,0,0
EC121,2012,556500,556500,67350,0,201750,79450
LIM362,2014,200610,200610,15711,0,0,N/A
MP325,2013,930000,930000,85525,0,1125,1689449
LIM365,2014,101500,101500,0,0,0,N/A
FS181,2012,67324,67324,1579,0,0,0
FS185,2014,70000,70000,0,0,4,N/A
NC086,2012,14708,14708,0,0,73,0
KZN273,2012,25000,0,2681,0,0,0
KZN226,2012,37000,42100,0,0,10750,8920
KZN236,2013,35000,20000,1150,0,2000,200
NW393,2012,13000,13000,349248,0,126252,0
FS164,2012,5000,0,0,0,3114,3246
KZN236,2014,20000,5000,0,0,0,N/A
EC154,2012,27075,27075,1300,0,3550,9000
EC136,2013,270,270,54,0,0,462
EC103,2013,0,0,0,0,0,0
EC103,2012,0,0,0,0,0,0
EC103,2014,0,0,0,0,0,N/A
EC107,2012,0,0,0,0,0,0
EC123,2012,0,0,0,0,0,0
EC124,2014,0,0,4259,0,19234,N/A
EC136,2012,0,0,632,0,0,0
EC153,2013,0,0,0,0,1543050,1409740
EC153,2012,0,0,0,0,0,0
FS162,2013,0,0,0,0,0,0
FS162,2014,0,0,0,0,0,N/A
FS164,2013,0,0,8982,0,8982,9079
FS185,2013,0,0,0,0,0,0
FS185,2012,0,0,0,0,0,0
KZN211,2013,0,0,0,0,0,0
KZN211,2012,0,0,0,0,0,0
KZN211,2014,0,0,0,0,0,N/A
KZN213,2013,0,0,0,0,0,0
KZN213,2012,0,0,0,0,0,0
KZN213,2014,0,0,0,0,0,N/A
KZN215,2013,0,0,0,0,0,0
KZN215,2012,0,0,0,0,0,0
KZN215,2014,0,0,200,0,0,N/A
KZN233,2013,0,0,0,0,0,0
KZN233,2012,0,0,0,0,0,0
KZN233,2014,0,0,0,0,0,N/A
KZN236,2012,0,0,0,0,0,1950
KZN244,2013,0,0,0,0,0,0
KZN244,2012,0,0,0,0,0,0
KZN244,2014,0,0,0,0,0,N/A
KZN283,2013,0,0,0,0,0,0
KZN283,2012,0,0,0,0,0,0
KZN283,2014,0,0,0,0,0,N/A
KZN286,2013,0,0,0,0,0,0
KZN286,2012,0,0,0,0,0,0
KZN286,2014,0,0,0,0,0,N/A
KZN293,2013,0,0,0,0,0,0
KZN293,2012,0,0,0,0,0,0
KZN293,2014,0,0,0,0,0,N/A
KZN294,2013,0,0,0,0,0,0
KZN294,2012,0,0,0,0,0,0
KZN294,2014,0,0,0,0,0,N/A
LIM352,2013,0,0,0,0,0,0
LIM352,2014,0,0,0,0,0,N/A
LIM473,2013,0,0,0,0,0,7839
LIM473,2012,0,0,0,0,0,0
NC081,2013,0,0,0,0,0,0
NC081,2012,0,0,0,0,0,0
NC081,2014,0,0,0,0,0,N/A
NC451,2013,0,0,0,0,0,0
NC451,2012,0,0,0,0,0,0
NC451,2014,0,0,0,0,50,N/A
NW371,2013,0,0,0,0,0,0
NW371,2012,0,0,0,0,0,0
NW371,2014,0,0,0,0,0,N/A
NW375,2012,0,0,0,0,0,591082
NW381,2012,0,0,0,0,0,0
NW397,2013,0,0,0,0,0,0
NW397,2012,0,0,0,0,0,0
NW397,2014,0,0,0,0,0,N/A
NC064,2012,0,0,0,-186,258,0
NC072,2012,2109180,1877040,825,-1547,901902,4463383
NC084,2014,4000,4000,794,-2800,0,N/A
KZN261,2014,479065,300279,18357,-27222,61208,N/A
NC093,2014,762555,762555,62535,-20948,57599,N/A
NMA,2014,34808730,34503840,4680733,-1444897,2140241,N/A
EC137,2012,0,0,618609,-203410,33425,26181
WC014,2014,2860960,1860960,274386,-219721,446725,N/A
KZN212,2014,675000,586000,272644,-193793,193478,N/A
GT483,2012,4237070,4237068,-250315,-577449,-561373,-1019516
