Municipality,Year,Budget,Adjusted Budget,Q1 – Sep,Q2 – Dec,Q3 – Mar,Q4 – Jun
GT482,2013,2129891,2129891,1339741,1110488,1872777,2194106
KZN433,2012,8000000,4000000,796694,490293,634802,875851
WC052,2013,2601000,1101000,191361,96870,50749,192812
LIM366,2014,3600000,3600000,1519818,489883,382014,N/A
KZN266,2014,7688000,2800000,962037,1370537,498906,N/A
NW375,2014,6700000,0,433200,1750300,0,N/A
KZN225,2014,3634000,8109260,2420904,4462348,2833324,N/A
GT421,2014,35007945,35007945,6339570,5132108,3222967,N/A
MP313,2012,5140100,5140600,1509884,1622154,771963,1725549
WC014,2012,3033440,3033440,427701,694226,773693,643399
NC073,2014,7543400,4778600,630931,296309,1105153,N/A
WC012,2014,1859000,1105000,361636,340954,192207,N/A
KZN274,2012,4495000,4371000,876368,491563,174715,114750
KZN292,2013,3418076,3618700,314359,1575057,1160289,1037767
CPT,2013,160917291,172827035,28282195,25331159,23106707,27406625
NC076,2012,1031557,650000,540418,106100,68825,115620
KZN282,2014,10102200,9302200,2441410,2104536,2048981,N/A
Summary,2014,1728365293,1461288039,193254458,323954346,252353046,N/A
GT484,2012,2003765,2003765,1409896,1217463,854966,851963
GT484,2013,5682072,5682072,926434,1216202,1019237,1064844
WC041,2012,1321000,672610,63083,151562,230208,373074
ETH,2013,104400213,104400210,17331124,21048816,18496751,54022630
NC083,2013,1610722,1938450,378593,569145,313878,359923
NC452,2014,4057061,4057061,900010,565372,278058,N/A
WC026,2014,2167610,2142610,346229,588344,603059,N/A
WC011,2013,1370000,1370000,463907,395713,321735,289620
NMA,2012,24997700,24997700,5932932,6778940,6370389,6488029
NW402,2012,0,3082900,661486,953945,297109,2300883
EC108,2012,0,2871639,820664,573642,726370,792988
Summary,2012,1138454502,1202778483,272961481,297991694,312533134,375355401
WC023,2014,4959022,4818795,1065746,1431276,1437134,N/A
WC042,2012,2445650,2445650,907109,296015,999036,687314
FS194,2012,1575000,2415000,175439,1879603,2054855,937227
NC091,2012,6431800,6031800,1163039,1381256,1392231,1239624
NMA,2013,32328130,33809780,6502176,6311251,4651815,5584606
Summary,2013,1343552322,1360808827,267395679,283023394,216147242,344578761
MP313,2013,5355000,5250000,1263557,1247513,1411871,1600369
MP307,2013,9246071,9246071,2013020,1597934,2179191,1385986
LIM367,2014,1108689,1108689,187223,1665268,2384536,N/A
KZN266,2013,5101000,5901000,1696848,1015549,746182,546276
GT423,2012,3601446,3601446,80759,533488,79461,47007
WC026,2012,3037163,3037163,83703,519521,667502,303068
WC011,2014,2496500,1496500,372255,356303,341129,N/A
WC033,2012,1018000,1018000,187101,173498,195981,193716
WC011,2012,1470000,1360000,261876,346793,323508,291369
NW403,2014,13143600,13143600,1571351,1996865,4841664,N/A
FS192,2014,3852000,3852000,2196853,641489,1923147,N/A
WC023,2013,7278225,4508202,882780,1245158,764732,742473
NW384,2013,116000,116000,581722,836459,1405710,103000
GT482,2014,2043000,3744000,1132390,720074,956181,N/A
NC072,2013,1875520,1237500,927175,136649,263792,63361
ETH,2012,99534052,99534052,18317934,16503922,20400928,22206988
EC106,2012,1011580,1011580,270630,260045,188121,103081
NC091,2013,7333800,5833800,1225406,1172031,1050063,1204560
FS204,2014,13015570,7115570,888715,704176,3679230,N/A
WC023,2012,9884540,8788500,733370,1181871,1328081,821368
KZN266,2012,2100000,1102500,721282,867989,1089754,968454
FS204,2013,12006680,12009980,851997,664704,875080,1402664
