Municipality,Name,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Total
WC051,Laingsburg,0.412923,0.070226,0.097658,0.103357,0.078665
WC026,Langeberg,0.004306,0.002839,0.006085,0.005455,0.004023
MP305,Lekwa,0.000686,0.000298,0.000984,0.003193,0.002979
NW396,Lekwa-Teemane,0.000669,0.000546,0.000476,0.001454,0.000593
LIM353,Lepelle-Nkumpi,0.004231,-0.00008,0.00025,0.005975,0.001996
LIM362,Lephalale,0,0.000649,0,0,0.000287
GT423,Lesedi,0.000457,0.000494,0.00045,0.000435,0.000921
FS161,Letsemeng,0.000991,0.000312,0.000675,0,0.000553
EC134,Lukhanji,0.000535,0.000148,0.000442,0.000328,0.000669
NW372,Madibeng,0.001386,0.000889,0.001211,0.00039,0.00095
FS205,Mafube,0,0,0,0,0.000279
NC093,Magareng,-0.000377,0.00322,-0.00118,0.005799,0.004537
NW383,Mahikeng,0.009198,0.004144,0.003278,0.004594,0.005535
EC104,Makana,0.000966,0.000837,0.000118,0.001156,0.001649
LIM341,Makhado,0.013009,0.006574,0.002312,0.004664,0.009042
LIM475,Makhuduthamaga,0.005417,0.000411,0.00065,0.000728,0.001472
EC143,Maletswai,0.004316,0.000017,0.00036,0.010959,0.002186
FS194,Maluti-a-Phofung,0.000943,0.000543,0.001703,0.000721,0.002515
NW393,Mamusa,0.000445,0,0,0.000126,0.002082
KZN292,Mandeni,0.00448,-0.003092,0.003363,0.00279,0.003178
MAN,Mangaung,0.001259,0.000708,0.002089,0.001737,0.001048
FS196,Mantsopa,0.00119,0.001585,0.001276,0.000726,0.000965
KZN293,Maphumulo,0,0,0,0,0
NW404,Maquassi Hills,0.076381,0.000063,0.000041,0.053043,0.012067
LIM335,Maruleng,0.010254,0.001595,0.001418,0.008145,0.002326
FS181,Masilonyana,0.000051,0,0.00008,0.000048,0.000064
EC441,Matatiele,0.005116,0.001141,0.000767,0.002052,0.001939
FS184,Matjhabeng,0.00189,0.001875,0.001263,0.001605,0.001633
NW403,Matlosana,0.007697,0.003009,0.004387,0.011315,0.005037
WC011,Matzikama,0.009592,0.006736,0.00733,0.006994,0.00784
EC121,Mbhashe,0.041161,0,0.054032,0.002462,0.004338
EC443,Mbizana,0.000911,0.000351,0.000892,0.00157,0.001296
MP322,Mbombela,0.004651,0.001599,0.002338,0.001137,0.002217
KZN281,Mbonambi,0.008775,0.000504,0.001545,0.000526,0.000828
GT484,Merafong City,0.005707,0.002976,0.004156,0.003091,0.004335
FS204,Metsimaholo,0.011123,0.004809,0.003968,0.022052,0.008223
EC156,Mhlontlo,0.083115,0.003276,0.002777,0.001268,0.002732
GT422,Midvaal,0.02238,0.020414,0.022116,0.019561,0.017655
NC081,Mier,0,0,0,0,0
KZN222,Mkhambathini,0.022111,0.042349,0.042555,0.026969,0.026638
MP303,Mkhondo,0.007089,0.001984,0.001122,0.001764,0.003282
EC122,Mnquma,0.047699,0.00163,0.077603,0.002628,0.009129
LIM364,Modimolle,0.000552,0.000445,0.000992,0.000279,0.000786
LIM365,Mogalakwena,0.000037,0,0,0,0.000129
GT481,Mogale City,0.011922,0.008529,0.014735,0.011297,0.007988
FS163,Mohokare,0.00091,0.000251,0.000788,0.000235,0.000938
LIM354,Molemole,0.002059,0.001227,0.002034,0.00118,0.00192
LIM366,Mookgophong,0.069306,0.022354,0.020971,0.019861,0.014561
FS201,Moqhaka,0.003126,0.001521,0.002177,0.001277,0.001796
NW371,Moretele,0,0,0,0,0
NW375,Moses Kotane,0.011832,0.003171,0.014323,0,0.004501
WC043,Mossel Bay,0.0117,-0.003563,0.011372,0.009675,0.005962
