Province,Municipality,Name,Total Fines,Total Budget,Population
LIM,LIM343,Mutale,609624,405414152,618462
LIM,LIM344,Thulamela,2009859,535753921,516031
LIM,LIM351,Aganang,525032,139862381,162629
LIM,LIM352,Blouberg,0,104577254,131164
LIM,LIM353,Lepelle-Nkumpi,203940,104418867,108321
LIM,LIM354,Molemole,2789373,1804207951,628999
LIM,LIM355,Polokwane,893370,214824665,230350
LIM,LIM361,Bela-Bela,243178,211795359,85234
LIM,LIM362,Lephalale,15711,24193268,115767
LIM,LIM364,Modimolle,39332,87378181,35640
LIM,LIM365,Mogalakwena,0,233515424,68513
LIM,LIM366,Mookgophong,2391715,110583860,66500
LIM,LIM367,Thabazimbi,1511070,635206308,307682
LIM,LIM471,Elias Motsoaledi,162520,170891043,123648
LIM,LIM472,Ephraim Mogale,347240,258192176,249363
LIM,LIM473,Fetakgomo,26280,220937194,274358
LIM,LIM474,Greater Tubatse,509356,77950841,93795
LIM,LIM475,Makhuduthamaga,192296,338567256,335676
FS,MAN,Mangaung,8847141,5417504929,747431
MP,MP301,Albert Luthuli,183820,279228464,186010
MP,MP302,Msukaligwa,291790,415600324,149377
MP,MP303,Mkhondo,562355,269755890,171982
MP,MP304,Pixley Ka Seme,192497,225564349,83235
MP,MP305,Lekwa,268265,313938920,115662
MP,MP306,Dipaleseng,240849,144663369,42390
MP,MP307,Govan Mbeki,5731515,1269721668,294538
MP,MP311,Victor Khanye,224323,306181279,75452
MP,MP312,Emalahleni,2493331,1658758714,395466
MP,MP313,Steve Tshwete,6661321,1121711051,229831
MP,MP314,Emakhazeni,882039,170161545,47216
MP,MP315,Thembisile Hani,415800,437800200,310458
MP,MP316,Dr JS Moroka,179855,301507801,249705
MP,MP321,Thaba Chweu,1338892,286025056,98387
MP,MP322,Mbombela,2981052,1552282648,588794
MP,MP323,Umjindi,147137,189837173,67156
MP,MP324,Nkomazi,1191934,470416233,393030
MP,MP325,Bushbuckridge,760929,561536137,541248
NC,NC061,Richtersveld,7217,26262537,11982
NC,NC062,Nama Khoi,211368,175772484,47041
NC,NC064,Kamiesberg,806,30139904,10187
NC,NC065,Hantam,67767,70375534,21578
NC,NC066,Karoo Hoogland,5497,37155266,12588
NC,NC067,Khâi-Ma,3050,39096229,12465
NC,NC071,Ubuntu,15911141,62091101,18601
NC,NC072,Umsobomvu,676954,98204539,28376
NC,NC073,Emthanjeni,3012088,166978957,42356
NC,NC074,Kareeberg,5464,35158197,11673
NC,NC075,Renosterberg,37623,25374300,10978
NC,NC076,Thembelihle,29600,49840694,15701
NC,NC077,Siyathemba,20227,74532748,21591
NC,NC078,Siyancuma,131368,125336103,37076
NC,NC081,Mier,0,23964814,7003
NC,NC082,Kai !Garib,83781,169415645,65869
NC,NC083,//Khara Hais,607726,472034490,93494
NC,NC084,!Kheis,109780,37196089,16637
NC,NC085,Tsantsabane,58421,105683003,35093
NC,NC086,Kgatelopele,24496,64511653,18687
NC,NC091,Sol Plaatje,4512700,1511266191,248041
NC,NC092,Dikgatlong,2000,88434143,46841
NC,NC093,Magareng,149661,76768164,24204
NC,NC094,Phokwane,113660,167799347,63000
NC,NC451,Joe Morolong,50,108363094,89530
NC,NC452,Ga-Segonyana,2341462,235393418,93651
NC,NC453,Gamagara,281500,294067943,41617
EC,NMA,Nelson Mandela Bay,6353519,7285735593,1152115
NW,NW371,Moretele,0,302836112,186947
NW,NW372,Madibeng,872933,1034366944,477381
