Province,Municipality,Name,Total Fines,Total Budget,Percentage of Budget
WC,WC031,Theewaterskloof,11906596,319148957,3.7307331698
WC,WC032,Overstrand,7196343,706897616,1.018017721
WC,WC033,Cape Agulhas,611269,224670139,0.2720739849
WC,WC034,Swellendam,2921782,143331828,2.0384739669
WC,WC041,Kannaland,267758,82740030,0.3236136124
WC,WC042,Hessequa,2397105,270552806,0.8860026386
WC,WC043,Mossel Bay,3392254,690886950,0.4909998662
WC,WC044,George,14360186,1064744134,1.3486982967
WC,WC045,Oudtshoorn,774899,395916030,0.1957230678
WC,WC047,Bitou,6257187,417010711,1.5004859192
WC,WC048,Knysna,12413778,518159796,2.395743185
WC,WC051,Laingsburg,3284169,30810535,10.6592404189
WC,WC052,Prince Albert,669075,34402311,1.9448548093
WC,WC053,Beaufort West,11845370,203006317,5.8349760614
