Province,Municipality,Name,Total Fines,Total Budget,Population
LIM,LIM352,Aganang,0,144401524,131164
LIM,LIM353,Molemole,1169180,109554429,108321
LIM,LIM354,Polokwane,12346564,1932949289,628999
LIM,LIM355,Lepelle-Nkumpi,893370,215383427,230350
LIM,LIM361,Thabazimbi,1002460,203921626,85234
LIM,LIM362,Lephalale,787211,326325171,115767
LIM,LIM364,Mookgophong,283828,113002795,35640
LIM,LIM365,Modimolle,102800,235897208,68513
LIM,LIM366,Bela-Bela,29904329,283647767,66500
LIM,LIM367,Mogalakwena,0,0,307682
LIM,LIM471,Ephraim Mogale,0,0,123648
LIM,LIM472,Elias Motsoaledi,1666250,245094723,249363
LIM,LIM473,Makhuduthamaga,156030,232910241,274358
LIM,LIM474,Fetakgomo,1129443,74724762,93795
LIM,LIM475,Greater Tubatse,0,0,335676
MAN,MAN,Mangaung,77361862,4958020941,747431
MP,MP301,Albert Luthuli,495161,281183276,186010
MP,MP302,Msukaligwa,2525243,466211138,149377
MP,MP303,Mkhondo,4033691,270322675,171982
MP,MP304,Pixley Ka Seme,915548,219860459,83235
MP,MP305,Lekwa,0,0,115662
MP,MP306,Dipaleseng,990830,164400195,42390
MP,MP307,Govan Mbeki,22737891,1378889465,294538
MP,MP311,Victor Khanye,0,0,75452
MP,MP312,Emalahleni,3150968,1660797569,395466
MP,MP313,Steve Tshwete,14347255,1203303581,229831
MP,MP314,Emakhazeni,198733,176591193,47216
MP,MP315,Thembisile Hani,2939050,409720882,310458
MP,MP316,Dr JS Moroka,1170795,529711827,249705
MP,MP321,Thaba Chweu,799773,316277362,98387
MP,MP322,Mbombela,15327210,1537670614,588794
MP,MP323,Umjindi,732750,197669989,67156
MP,MP324,Nkomazi,2690234,487705121,393030
MP,MP325,Bushbuckridge,0,0,541248
NC,NC061,Richtersveld,8347,48091443,11982
NC,NC062,Nama Khoi,211368,210513712,47041
NC,NC064,Kamiesberg,934,33122289,10187
NC,NC065,Hantam,91096,68863700,21578
NC,NC066,Karoo Hoogland,5519,36928684,12588
NC,NC067,Khâi-Ma,3050,46660715,12465
NC,NC071,Ubuntu,52473517,107210918,18601
NC,NC072,Umsobomvu,684469,95092980,28376
NC,NC073,Emthanjeni,19521175,185183222,42356
NC,NC074,Kareeberg,5910,42704498,11673
NC,NC075,Renosterberg,7450,59749033,10978
NC,NC076,Thembelihle,465797,37111564,15701
NC,NC077,Siyathemba,32010,57169467,21591
NC,NC078,Siyancuma,86940,106779041,37076
NC,NC081,Mier,0,27803417,7003
NC,NC082,Kai !Garib,83781,151652698,65869
NC,NC083,//Khara Hais,873270,481899719,93494
NC,NC084,!Kheis,0,28511875,16637
NC,NC085,Tsantsabane,81269,171404741,35093
NC,NC086,Kgatelopele,24232,69619131,18687
NC,NC091,Sol Plaatje,11553669,1521648781,248041
NC,NC092,Dikgatlong,8210,125427560,46841
NC,NC093,Magareng,202461,78341340,24204
NC,NC094,Phokwane,99160,180205172,63000
NC,NC451,Joe Morolong,0,95241448,89530
NC,NC452,Ga-Segonyana,2259740,266057763,93651
NC,NC453,Gamagara,775203,273626110,41617
NMA,NMA,Nelson Mandela Bay,12808381,7473948478,1152115
NW,NW371,Moretele,0,229846539,186947
NW,NW372,Madibeng,2469180,1109144691,477381
NW,NW373,Rustenburg,37793658,2809462375,549575
NW,NW374,Kgetlengrivier,445840,127440662,51049
NW,NW375,Moses Kotane,0,0,242554
NW,NW381,Ratlou,0,96256243,107339
NW,NW382,Tswaing,0,140557972,124218
NW,NW383,Mahikeng,14286566,465505363,291527
NW,NW384,Ditsobotla,428861,296197543,168902
NW,NW385,Ramotshere Moiloa,2579774,281346123,150713
NW,NW392,Naledi,1854650,281662457,66781
NW,NW393,Mamusa,41754,111008490,60355
NW,NW394,Greater Taung,0,142534595,177642
NW,NW396,Lekwa-Teemane,2809150,185830852,53248
NW,NW397,Kagisano-Molopo,0,0,105789
NW,NW401,Ventersdorp,5817636,122280416,56702
NW,NW402,Tlokwe,0,0,162762
NW,NW403,Matlosana,26332594,1701072557,398676
NW,NW404,Maquassi Hills,26318845,296819251,77794
TSH,TSH,Tshwane,196885787,21275352657,2921488
WC,WC011,Matzikama,1710830,199854449,67147
WC,WC012,Cederberg,2590243,170363975,49768
WC,WC013,Bergrivier,3387818,209544725,61897
WC,WC014,Saldanha Bay,1999737,668584007,99193
WC,WC015,Swartland,23734391,455845062,113762
WC,WC022,Witzenberg,7625021,396721818,115946
WC,WC023,Drakenstein,58128194,1489943068,251262
WC,WC024,Stellenbosch,82633002,1099040652,155733
WC,WC025,Breede Valley,52035142,723383192,166825
WC,WC026,Langeberg,10845894,437086338,97724
WC,WC031,Theewaterskloof,29835407,390322190,108790
WC,WC032,Overstrand,22739348,748917475,80432
WC,WC033,Cape Agulhas,1399702,205222683,33038
WC,WC034,Swellendam,15303083,192146730,35916
WC,WC041,Kannaland,3360266,120247700,24767
WC,WC042,Hessequa,29854615,313750138,52642
WC,WC043,Mossel Bay,16998024,819824365,89430
WC,WC044,George,60966463,1241482922,193672
WC,WC045,Oudtshoorn,4945950,393842390,95933
WC,WC047,Bitou,28611844,473283704,49162
WC,WC048,Knysna,45207835,558914961,68659
WC,WC051,Laingsburg,17121289,64770360,8289
WC,WC052,Prince Albert,12579551,53769842,13136
WC,WC053,Beaufort West,40873666,237415297,49586
National,Summary,National,3304684939,226252108907,51473190
