Municipality,Name,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Total,Population,Sep 2011P,Dec 2011P,Mar 2012P,Jun 2012P,Sep 2012P,Dec 2012P,Mar 2013P,Jun 2013P,Sep 2013P,Dec 2013P,Mar 2014P
KZN252,Dannhauser,0.000536,0.001269,0.001474,0.001559,0.001615,0.00213,0.001123,0.002402,0.001125,0.002194,0.002184,0.001625,363236,0.3491118722,1.0932974705,1.2269240934,1.3574480503,1.695534033,2.1140333007,1.0489048442,1.877085421,1.1412745433,2.1855598013,2.0044874407
FS192,Dihlabeng,0.000877,0.00111,0.000534,0.000759,0.000046,0.000232,0.02023,0.016698,0.01245,0.004315,0.014131,0.006518,128704,0.9828909746,0.7514451765,0.6384416957,0.3554668076,0.0555538289,0.244646631,19.4222479488,12.1727219045,17.0690343734,4.9842196047,14.9424027225
NC092,Dikgatlong,0.000042,0.001231,0.00003,0.003122,0.000291,0.000007,0.000398,0.00146,0,0.000043,0.000041,0.000453,46841,0.0190217971,0.3484127154,0.0090732478,0.7298307039,0.2059733994,0.0017079055,0.1120385987,0.5277214406,0,0.0149441728,0.0149441728
MP306,Dipaleseng,0.0072,0.000549,0.000229,0.001198,0.001341,0.002258,0.001709,0.002653,0.001635,0.002436,0.001356,0.00147,42390,4.5299598962,0.3578202406,1.0759613116,0.7268223638,0.7114885586,3.2882047653,3.9458834631,1.2222222222,1.8048124558,1.8962727058,1.2808917197
NW384,Ditsobotla,0.000753,0.000383,0.000775,0.000928,0.006418,0.013891,0.021127,0.001797,0.001455,0.001919,0.000513,0.004117,168902,0.412499556,0.1607441001,0.3025008585,0.2912102876,3.444139205,4.9523333057,8.3226367953,0.6098210797,0.4144415105,1.1617624421,0.4031094954
MP316,Dr JS Moroka,0.00327,0.000484,0.001322,0.018268,0.000678,0.000858,0.000776,0.006605,0.000507,0.000699,0.000342,0.000994,249705,0.3256843075,0.1735327687,0.3015958831,0.4353537174,0.2898219899,0.3117278388,0.1930477964,0.2823331531,0.2120702429,0.2229831201,0.1223043191
WC023,Drakenstein,0.002765,0.004398,0.004331,0.002982,0.001796,0.004528,0.002951,0.002765,0.001897,0.004756,0.004932,0.003264,251262,2.9187461693,4.7037395229,5.2856420788,3.2689702382,3.5133844354,4.9556160502,3.0435640885,2.9549752848,4.2415725418,5.6963488311,5.7196631405
KZN262,eDumbe,0.000143,0.000461,0.000213,0.006094,0.003406,0.001396,0.003592,0.004879,0.000565,0.002206,0.003018,0.002029,127238,0.0575614203,0.0925666861,0.0472185982,1.2870368915,0.9694430909,0.3114164008,0.8462880586,0.4624640438,0.184693252,0.7077288232,0.457410522
EKU,Ekurhuleni,0.008114,0.009296,0.012157,0.01353,0.005776,0.006773,0.009332,0.008956,0.006351,0.007262,0.009126,0.00847,3178470,14.5063237973,14.7699827275,17.7389410628,18.2464062898,11.8604413444,13.2481212659,13.1530371531,12.9272813649,14.3922840234,14.207406079,16.9046925093
LIM471,Elias Motsoaledi,0.000704,0.002168,0.002679,0.000228,0.000532,0.000975,0.001365,0.002314,0.000749,0.000493,0.000963,0.001076,123648,0.2450504658,0.6119953416,0.5279503106,0.0339673913,0.2054218427,0.3094591097,0.4061529503,0.3876892469,0.3192934783,0.202186853,0.3491362578
